InvoiceNo;StockCode;Description;Quantity;Date;UnitPrice;CustomerID;Country
537868;21967;PACK OF 12 SKULL TISSUES;48;20101208;0.29;12433;Norway
C557648;22197;POPCORN HOLDER;-3;20110621;0.72;17677;United Kingdom
580983;23355;HOT WATER BOTTLE KEEP CALM;2;20111206;10.79;;United Kingdom
556263;21793;CLASSIC FRENCH STYLE BASKET BROWN;2;20110609;3.95;13969;United Kingdom
568947;23312;VINTAGE CHRISTMAS GIFT SACK;4;20110929;4.15;14696;United Kingdom
560692;21041;RED RETROSPOT OVEN GLOVE DOUBLE;1;20110720;2.95;14704;United Kingdom
574536;23571;TRADITIONAL NAUGHTS & CROSSES;2;20111104;1.65;15707;United Kingdom
580753;22556;PLASTERS IN TIN CIRCUS PARADE ;12;20111206;1.65;12682;France
580527;21306;SET/4 DAISY MIRROR MAGNETS;2;20111204;0.29;13736;United Kingdom
572092;22909;SET OF 20 VINTAGE CHRISTMAS NAPKINS;1;20111020;0.85;17125;United Kingdom
559421;22131;FOOD CONTAINER SET 3 LOVE HEART ;6;20110708;1.95;12648;Germany
544445;22629;SPACEBOY LUNCH BOX ;2;20110220;1.95;16746;United Kingdom
558540;22626;BLACK KITCHEN SCALES;2;20110630;8.5;17706;United Kingdom
538349;21669;BLUE STRIPE CERAMIC DRAWER KNOB;2;20101210;2.51;;United Kingdom
570234;20754;RETROSPOT RED WASHING UP GLOVES;2;20111009;2.1;17790;United Kingdom
538071;85035C;ROSE 3 WICK MORRIS BOX CANDLE;1;20101209;8.47;;United Kingdom
547651;85038;6 CHOCOLATE LOVE HEART T-LIGHTS;1;20110324;2.1;16904;United Kingdom
579515;23201;JUMBO BAG ALPHABET;10;20111129;2.08;14191;United Kingdom
546543;84580;MOUSE TOY WITH PINK T-SHIRT;1;20110314;3.75;17841;United Kingdom
545634;22726;ALARM CLOCK BAKELIKE GREEN;4;20110304;3.75;14911;EIRE
566591;22718;CARD CAT AND TREE ;12;20110913;0.42;16036;United Kingdom
577230;22208;WOOD STAMP SET THANK YOU;12;20111118;0.83;18034;United Kingdom
575739;82583;HOT BATHS METAL SIGN;1;20111111;4.13;;United Kingdom
579196;84378;SET OF 3 HEART COOKIE CUTTERS;8;20111128;2.46;14096;United Kingdom
565231;22970;LONDON BUS COFFEE MUG;6;20110902;4.96;;United Kingdom
550000;22501;PICNIC BASKET WICKER LARGE;2;20110414;9.95;17058;United Kingdom
563193;23120;PACK OF 6 SMALL FRUIT STRAWS;14;20110812;0.42;;United Kingdom
562537;23243;SET OF TEA COFFEE SUGAR TINS PANTRY;4;20110805;4.95;12517;Germany
567186;23342;MINT DINER WALL CLOCK;1;20110918;8.5;17073;United Kingdom
580983;23311;VINTAGE CHRISTMAS STOCKING ;2;20111206;4.96;;United Kingdom
569693;22970;LONDON BUS COFFEE MUG;6;20111005;2.55;17837;United Kingdom
562680;23200;JUMBO BAG PEARS;2;20110808;2.08;17954;United Kingdom
541986;21668;RED STRIPE CERAMIC DRAWER KNOB;12;20110124;1.25;17001;United Kingdom
566294;22839;3 TIER CAKE TIN GREEN AND CREAM;2;20110911;14.95;15533;United Kingdom
573552;23083;SET 6 PAPER TABLE LANTERN STARS ;6;20111031;3.75;13203;United Kingdom
561430;23208;LUNCH BAG VINTAGE LEAF DESIGN;10;20110727;1.65;15172;United Kingdom
575477;22190;LOCAL CAFE MUG;1;20111109;2.46;;United Kingdom
566973;22573;STAR WOODEN CHRISTMAS DECORATION;24;20110916;0.85;15152;United Kingdom
551279;22740;POLKADOT PEN;240;20110427;0.72;16013;United Kingdom
579744;84997D;CHILDRENS CUTLERY POLKADOT PINK;4;20111130;4.15;;United Kingdom
581410;23231;WRAP  VINTAGE DOILY ;50;20111208;0.42;13098;United Kingdom
557781;84978;HANGING HEART JAR T-LIGHT HOLDER;42;20110622;1.25;17389;United Kingdom
559817;23013;GLASS APOTHECARY BOTTLE TONIC;1;20110712;3.95;;United Kingdom
C546886;21843;RED RETROSPOT CAKE STAND;-1;20110317;10.95;12520;Germany
537789;22867;HAND WARMER BIRD DESIGN;12;20101208;2.1;14051;United Kingdom
568792;20725;LUNCH BAG RED RETROSPOT;10;20110929;1.65;18192;United Kingdom
565840;23201;JUMBO BAG ALPHABET;1;20110907;4.13;;United Kingdom
C539114;22667;RECIPE BOX RETROSPOT ;-3;20101216;2.95;12494;France
C553025;22666;RECIPE BOX PANTRY YELLOW DESIGN;-1;20110512;2.95;13971;United Kingdom
572103;22319;HAIRCLIPS FORTIES FABRIC ASSORTED;1;20111020;0.65;17571;United Kingdom
556126;22999;TRAVEL CARD WALLET RETRO PETALS;24;20110609;0.42;14911;EIRE
553922;22088;PAPER BUNTING COLOURED LACE;6;20110520;2.95;17926;United Kingdom
537237;17012C;ORIGAMI LAVENDER INCENSE/CANDL SET ;2;20101206;2.51;;United Kingdom
565427;20748;KENSINGTON COFFEE SET;1;20110904;12.75;17774;United Kingdom
552281;48194;DOORMAT HEARTS;2;20110508;7.95;15704;United Kingdom
544476;22396;MAGNETS PACK OF 4 RETRO PHOTO;1;20110221;1.25;14796;United Kingdom
574038;21624;VINTAGE UNION JACK DOORSTOP;3;20111102;5.95;18164;United Kingdom
579468;23312;VINTAGE CHRISTMAS GIFT SACK;5;20111129;4.15;14711;United Kingdom
578067;22753;SMALL YELLOW BABUSHKA NOTEBOOK ;2;20111122;1.63;;United Kingdom
563349;15056BL;EDWARDIAN PARASOL BLACK;1;20110815;5.95;14623;United Kingdom
C543307;22838;3 TIER CAKE TIN RED AND CREAM;-1;20110207;14.95;18118;United Kingdom
571061;21327;SKULLS WRITING SET ;1;20111013;2.46;;United Kingdom
542870;85099C;JUMBO  BAG BAROQUE BLACK WHITE;10;20110201;1.95;15203;United Kingdom
578344;23497;CLASSIC CHROME BICYCLE BELL ;2;20111124;3.29;;United Kingdom
579465;23322;LARGE WHITE HEART OF WICKER;2;20111129;2.95;15790;United Kingdom
541497;85071C;"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN";2;20110118;0.83;;United Kingdom
542272;22470;HEART OF WICKER LARGE;6;20110127;2.95;16496;United Kingdom
537645;21918;SET 12 KIDS COLOUR  CHALK STICKS;1;20101207;0.81;;United Kingdom
580520;23019;SMALL APOTHECARY MEASURING JAR ;1;20111204;8.25;13521;United Kingdom
564328;22176;BLUE OWL SOFT TOY;6;20110824;2.95;12662;Germany
545895;21454;PAINTED PINK RABBIT ;3;20110307;0.83;;United Kingdom
543910;22469;HEART OF WICKER SMALL;12;20110214;1.65;13475;United Kingdom
568553;23175;REGENCY MILK JUG PINK ;4;20110927;3.25;15674;United Kingdom
541406;22776;SWEETHEART CAKESTAND 3 TIER;2;20110117;9.95;14657;United Kingdom
545216;35471D;SET OF 3 BIRD LIGHT PINK FEATHER ;1;20110228;2.46;;United Kingdom
539437;22363;GLASS JAR MARMALADE ;1;20101217;5.91;;United Kingdom
577174;22695;WICKER WREATH SMALL;2;20111118;1.45;17841;United Kingdom
564339;72351B;SET/6 PINK  BUTTERFLY T-LIGHTS;100;20110824;1.69;15939;United Kingdom
564139;22173;METAL 4 HOOK HANGER FRENCH CHATEAU;1;20110823;2.95;16904;United Kingdom
560434;20961;STRAWBERRY BATH SPONGE ;1;20110718;2.46;;United Kingdom
579512;22324;BLUE POLKADOT KIDS BAG;1;20111129;4.13;;United Kingdom
567462;20956;PORCELAIN T-LIGHT HOLDERS ASSORTED;12;20110920;1.25;14446;United Kingdom
537081;22554;PLASTERS IN TIN WOODLAND ANIMALS;24;20101205;1.65;15332;Lithuania
578921;21621;VINTAGE UNION JACK BUNTING;1;20111127;8.5;13596;United Kingdom
557501;79030D;TUMBLER BAROQUE;12;20110620;0.39;;United Kingdom
547063;22396;MAGNETS PACK OF 4 RETRO PHOTO;1;20110320;1.25;14769;United Kingdom
567980;22571;ROCKING HORSE RED CHRISTMAS ;11;20110923;0.85;15311;United Kingdom
541265;47503H;ASS FLORAL PRINT SPIRIT LEVEL ;2;20110116;1.95;17609;United Kingdom
567578;22326;ROUND SNACK BOXES SET OF4 WOODLAND ;6;20110921;2.95;12701;Germany
572192;23329;DECORATIVE WICKER HEART LARGE;1;20111021;1.65;18118;United Kingdom
571508;22800;ANTIQUE TALL SWIRLGLASS TRINKET POT;4;20111017;7.46;;United Kingdom
540550;22675;FRENCH KITCHEN SIGN BLUE METAL;12;20110110;1.25;12539;Spain
569123;23351;ROLL WRAP 50'S CHRISTMAS;8;20110930;1.25;12748;United Kingdom
576840;90019B;GOLD M.O.P ORBIT BRACELET;1;20111116;5.4;;United Kingdom
577985;21498;RED RETROSPOT WRAP ;25;20111122;0.42;15116;United Kingdom
541135;22082;RIBBON REEL STRIPES DESIGN ;10;20110114;1.65;16233;United Kingdom
536637;22315;200 RED + WHITE BENDY STRAWS;1;20101202;1.25;18041;United Kingdom
575917;23100;SILVER BELLS TABLE DECORATION;12;20111111;1.25;13895;United Kingdom
580729;21559;STRAWBERRY LUNCH BOX WITH CUTLERY;1;20111205;4.96;;United Kingdom
539760;21054;NURSE'S BAG SOFT TOY;2;20101221;8.95;17400;United Kingdom
540821;22374;AIRLINE BAG VINTAGE JET SET RED;1;20110111;4.21;;United Kingdom
579777;90013B;BLACK VINTAGE EARRINGS;1;20111130;4.15;;United Kingdom
554714;20986;BLUE CALCULATOR RULER;6;20110526;2.46;;United Kingdom
575875;22993;SET OF 4 PANTRY JELLY MOULDS;4;20111111;2.46;;United Kingdom
568065;22821;GIFT BAG PSYCHEDELIC APPLES;12;20110923;0.65;16240;United Kingdom
560841;22227;HANGING HEART MIRROR DECORATION ;24;20110721;0.55;14298;United Kingdom
542384;22720;SET OF 3 CAKE TINS PANTRY DESIGN ;3;20110127;4.95;15827;United Kingdom
560650;23005;TRAVEL CARD WALLET I LOVE LONDON;5;20110720;0.42;15529;United Kingdom
563906;23245;SET OF 3 REGENCY CAKE TINS;4;20110821;4.95;14246;United Kingdom
558632;23123;COCKTAIL SWORDS 50 PIECES;24;20110630;0.83;17930;United Kingdom
546884;20992;JAZZ HEARTS PURSE NOTEBOOK;4;20110317;1.63;;United Kingdom
567179;47566;PARTY BUNTING;2;20110918;4.95;15547;United Kingdom
573814;21169;YOU'RE CONFUSING ME METAL SIGN ;3;20111101;1.69;13268;United Kingdom
570458;23035;DRAWER KNOB CERAMIC IVORY;6;20111010;1.45;14535;United Kingdom
575076;23570;TRADITIONAL PICK UP STICKS GAME ;12;20111108;1.25;16639;United Kingdom
555397;22165;DIAMANTE HEART SHAPED WALL MIRROR, ;1;20110602;10.79;;United Kingdom
551547;22068;BLACK PIRATE TREASURE CHEST;1;20110503;4.13;;United Kingdom
578065;21986;PACK OF 12 PINK POLKADOT TISSUES;1;20111122;0.83;;United Kingdom
575930;85094;CANDY SPOT EGG WARMER RABBIT;1;20111111;0.83;;United Kingdom
544969;22694;WICKER STAR ;6;20110225;2.1;15712;United Kingdom
556290;22585;PACK OF 6 BIRDY GIFT TAGS;12;20110610;1.25;17088;United Kingdom
575607;22493;PAINT YOUR OWN CANVAS SET;1;20111110;3.29;14096;United Kingdom
557604;21382;SET/4 SPRING FLOWER DECORATION;4;20110621;0.75;15039;United Kingdom
545523;20961;STRAWBERRY BATH SPONGE ;1;20110303;1.25;14524;United Kingdom
576899;22842;BISCUIT TIN VINTAGE RED;2;20111117;6.75;14911;EIRE
563353;23289;DOLLY GIRL CHILDRENS BOWL;8;20110815;1.25;15480;Malta
563404;21739;COSY SLIPPER SHOES SMALL GREEN;12;20110816;2.95;16303;United Kingdom
539580;21231;SWEETHEART CERAMIC TRINKET BOX;12;20101220;1.25;15312;United Kingdom
574253;23531;WALL ART BIG LOVE ;3;20111103;6.95;15252;United Kingdom
572321;22416;SET OF 36 DOILIES SPACEBOY DESIGN ;12;20111024;1.45;15592;United Kingdom
547134;22957;SET 3 PAPER VINTAGE CHICK PAPER EGG;2;20110321;2.95;15996;United Kingdom
554906;22730;ALARM CLOCK BAKELIKE IVORY;4;20110527;3.75;14194;United Kingdom
571054;23514;EMBROIDERED RIBBON REEL SALLY ;1;20111013;2.08;14234;United Kingdom
578065;22941;CHRISTMAS LIGHTS 10 REINDEER;1;20111122;16.63;;United Kingdom
562720;20725;LUNCH BAG RED RETROSPOT;1;20110808;1.65;15033;United Kingdom
580612;21934;SKULL SHOULDER BAG;2;20111205;3.29;;United Kingdom
540681;22074;6 RIBBONS SHIMMERING PINKS ;9;20110110;0.85;;United Kingdom
536592;22411;JUMBO SHOPPER VINTAGE RED PAISLEY;2;20101201;4.21;;United Kingdom
560300;21642;ASSORTED TUTTI FRUTTI PEN;24;20110718;0.29;14911;EIRE
567186;23298;SPOTTY BUNTING;3;20110918;4.95;17073;United Kingdom
544337;84997C;BLUE 3 PIECE POLKADOT CUTLERY SET;4;20110218;4.15;13425;United Kingdom
555278;20802;SMALL GLASS SUNDAE DISH CLEAR;6;20110601;3.29;;United Kingdom
543533;22041;"RECORD FRAME 7"" SINGLE SIZE ";2;20110209;4.96;;United Kingdom
572088;22470;HEART OF WICKER LARGE;1;20111020;2.95;14585;United Kingdom
544040;22791;T-LIGHT GLASS FLUTED ANTIQUE;9;20110215;1.25;14701;United Kingdom
556510;23241;TREASURE TIN GYMKHANA DESIGN;6;20110613;2.08;14911;EIRE
564372;22418;10 COLOUR SPACEBOY PEN;24;20110825;0.85;12714;France
577297;21818;GLITTER HEART DECORATION;2;20111118;0.39;14593;United Kingdom
580615;23234;BISCUIT TIN VINTAGE CHRISTMAS;6;20111205;2.89;16873;United Kingdom
568567;21801;CHRISTMAS TREE DECORATION WITH BELL;7;20110927;0.42;;United Kingdom
556237;22379;RECYCLING BAG RETROSPOT ;1;20110609;4.13;;United Kingdom
573585;21892;TRADITIONAL WOODEN CATCH CUP GAME ;10;20111031;2.46;;United Kingdom
C561703;22504;CABIN BAG VINTAGE RETROSPOT;-2;20110729;29.95;12709;Germany
550768;84988;SET OF 72 PINK HEART PAPER DOILIES;24;20110420;1.45;15039;United Kingdom
566048;22609;PENS ASSORTED SPACEBALL;36;20110908;0.19;16558;United Kingdom
559693;21942;SKULLS DESIGN FLANNEL;3;20110711;0.83;;United Kingdom
577393;23503;PLAYING CARDS KEEP CALM & CARRY ON;25;20111118;1.25;14031;United Kingdom
545715;22668;PINK BABY BUNTING;2;20110307;5.79;;United Kingdom
566311;23091;METAL HERB GERDEN CONTAINER;12;20110912;5.39;15980;United Kingdom
563465;22185;SLATE TILE NATURAL HANGING;12;20110816;1.65;16168;United Kingdom
558293;23184;BULL DOG BOTTLE OPENER;4;20110628;4.95;13656;United Kingdom
554376;84596B;SMALL DOLLY MIX DESIGN ORANGE BOWL;3;20110524;0.42;15719;United Kingdom
566901;21917;SET 12 KIDS  WHITE CHALK STICKS;24;20110915;0.42;17434;United Kingdom
538510;21136;PAINTED METAL PEARS ASSORTED;1;20101212;1.69;18004;United Kingdom
574077;21035;SET/2 RED RETROSPOT TEA TOWELS ;1;20111102;3.25;17999;United Kingdom
548194;79000;MOROCCAN TEA GLASS;3;20110329;1.65;;United Kingdom
560539;22961;JAM MAKING SET PRINTED;10;20110719;1.45;16745;United Kingdom
576787;21930;JUMBO STORAGE BAG SKULLS;20;20111116;2.08;13815;Germany
547887;85188A;GREEN METAL SWINGING BUNNY;24;20110328;0.85;16245;United Kingdom
542419;22079;RIBBON REEL HEARTS DESIGN ;2;20110127;1.65;14662;United Kingdom
558057;22382;LUNCH BAG SPACEBOY DESIGN ;10;20110624;1.65;15665;United Kingdom
545693;21326;AGED GLASS SILVER T-LIGHT HOLDER;12;20110306;0.65;16422;United Kingdom
555396;20971;PINK BLUE FELT CRAFT TRINKET BOX;13;20110602;1.25;16529;United Kingdom
559551;22287;DECORATION WOBBLY CHICKEN;2;20110710;0.39;16877;United Kingdom
574074;23400;SHELF WITH 4 HOOKS HOME SWEET HOME;1;20111102;12.46;;United Kingdom
554158;21676;FLOWERS  STICKERS;6;20110523;0.85;15563;United Kingdom
C537805;22197;SMALL POPCORN HOLDER;-1;20101208;0.72;15311;United Kingdom
551003;23138;SINGLE WIRE HOOK IVORY HEART;1;20110426;1.45;16456;United Kingdom
546850;22712;CARD DOLLY GIRL ;8;20110317;0.42;13268;United Kingdom
575898;85049G;CHOCOLATE BOX RIBBONS ;2;20111111;1.25;16368;United Kingdom
554131;85066;CREAM SWEETHEART MINI CHEST;4;20110523;12.75;13988;United Kingdom
542344;21165;BEWARE OF THE CAT METAL SIGN ;1;20110127;4.13;;United Kingdom
554016;20675;BLUE POLKADOT BOWL;12;20110520;1.25;13243;United Kingdom
577406;22113;GREY HEART HOT WATER BOTTLE;4;20111120;4.25;12702;Germany
579522;22795;SWEETHEART RECIPE BOOK STAND;2;20111130;6.75;14432;United Kingdom
575337;22059;CERAMIC STRAWBERRY DESIGN MUG;1;20111109;1.49;17867;United Kingdom
550331;22562;MONSTERS STENCIL CRAFT;2;20110417;1.25;15555;United Kingdom
541489;47566;PARTY BUNTING;1;20110118;4.65;15023;United Kingdom
536526;22173;METAL 4 HOOK HANGER FRENCH CHATEAU;16;20101201;2.95;14001;United Kingdom
556233;21136;sold as set on dotcom;-272;20110609;0;;United Kingdom
571041;22112;CHOCOLATE HOT WATER BOTTLE;1;20111013;4.95;14527;United Kingdom
545215;22750;FELTCRAFT PRINCESS LOLA DOLL;1;20110228;7.46;;United Kingdom
562263;22804;CANDLEHOLDER PINK HANGING HEART;2;20110803;2.95;17514;United Kingdom
539731;21202;DOLLY HONEYCOMB GARLAND;192;20101221;0.65;14646;Netherlands
578270;21791;VINTAGE HEADS AND TAILS CARD GAME ;5;20111123;2.46;14096;United Kingdom
C578136;23325;RUSTIC STRAWBERRY JAM POT SMALL;-5;20111123;1.65;14156;EIRE
566739;POST;POSTAGE;3;20110914;18;12566;Germany
579885;23398;HANGING HEART BONHEUR;6;20111130;0.85;15444;United Kingdom
540550;20914;SET/5 RED RETROSPOT LID GLASS BOWLS;6;20110110;2.95;12539;Spain
557213;22535;MAGIC DRAWING SLATE BUNNIES ;1;20110617;0.42;15021;United Kingdom
581492;23173;REGENCY TEAPOT ROSES ;1;20111209;19.96;;United Kingdom
571408;22326;ROUND SNACK BOXES SET OF4 WOODLAND ;1;20111017;2.95;15012;United Kingdom
564141;23148;MINIATURE ANTIQUE ROSE HOOK IVORY;3;20110823;0.83;17841;United Kingdom
568872;22629;SPACEBOY LUNCH BOX ;12;20110929;1.95;12372;Denmark
577078;23010;CIRCUS PARADE BABY GIFT SET;1;20111117;10.79;;United Kingdom
568667;21623;VINTAGE UNION JACK MEMOBOARD;1;20110928;9.95;14606;United Kingdom
553162;22771;CLEAR DRAWER KNOB ACRYLIC EDWARDIAN;8;20110513;2.46;;United Kingdom
540238;21803;CHRISTMAS TREE STAR DECORATION;7;20110105;0.43;;United Kingdom
569826;23431;NATURAL HANGING QUILTED HEARTS ;12;20111006;0.83;18161;United Kingdom
537666;21165;BEWARE OF THE CAT METAL SIGN ;1;20101207;4.21;;United Kingdom
549985;22983;CARD BILLBOARD FONT;12;20110413;0.42;15640;United Kingdom
540551;22325;MOBILE VINTAGE HEARTS ;4;20110110;3.36;;United Kingdom
545978;22570;FELTCRAFT CUSHION RABBIT;1;20110308;3.75;13975;United Kingdom
581256;21479;WHITE SKULL HOT WATER BOTTLE ;35;20111208;9.13;;United Kingdom
C580968;23582;VINTAGE DOILY JUMBO BAG RED ;-20;20111206;2.08;15622;United Kingdom
569853;23307;SET OF 60 PANTRY DESIGN CAKE CASES ;24;20111006;0.55;13771;United Kingdom
537240;22403;MAGNETS PACK OF 4 VINTAGE LABELS ;1;20101206;2.51;;United Kingdom
573361;23173;REGENCY TEAPOT ROSES ;1;20111030;9.95;14456;United Kingdom
547569;22967;SET 3 SONG BIRD PAPER EGGS ASSORTED;18;20110324;2.95;17491;United Kingdom
561651;21992;VINTAGE PAISLEY STATIONERY SET;3;20110728;2.46;;United Kingdom
558535;23052;RECYCLED ACAPULCO MAT TURQUOISE;2;20110630;8.25;16904;United Kingdom
554961;21216;SET 3 RETROSPOT TEA,COFFEE,SUGAR;1;20110527;10.79;;United Kingdom
559988;23120;PACK OF 6 SMALL FRUIT STRAWS;2;20110714;0.42;15402;United Kingdom
576661;23581;JUMBO BAG PAISLEY PARK;7;20111116;2.08;17377;United Kingdom
552821;22464;HANGING METAL HEART LANTERN;1;20110511;1.65;18118;United Kingdom
576176;22197;POPCORN HOLDER;10;20111114;0.85;16936;United Kingdom
567507;21078;SET/20 STRAWBERRY PAPER NAPKINS ;1;20110920;2.46;;United Kingdom
540821;47593B;SCOTTIE DOGS BABY BIB;1;20110111;0.85;;United Kingdom
550630;21096;SET/6 FRUIT SALAD  PAPER PLATES;48;20110419;0.39;14298;United Kingdom
542349;23232;WRAP VINTAGE PETALS  DESIGN;25;20110127;0.42;15513;United Kingdom
564818;22446;PIN CUSHION BABUSHKA PINK;1;20110830;2.46;;United Kingdom
572835;23583;LUNCH BAG PAISLEY PARK  ;100;20111026;1.45;17428;United Kingdom
565115;48129;DOORMAT TOPIARY;1;20110901;8.25;16880;United Kingdom
562892;23297;SET 40 HEART SHAPE PETIT FOUR CASES;16;20110810;1.65;16292;United Kingdom
575148;22768;FAMILY PHOTO FRAME CORNICE;2;20111108;9.95;13867;United Kingdom
555550;21917;SET 12 KIDS  WHITE CHALK STICKS;48;20110605;0.42;15245;United Kingdom
563638;21754;HOME BUILDING BLOCK WORD;2;20110818;5.95;15311;United Kingdom
554098;23077;DOUGHNUT LIP GLOSS ;20;20110522;1.25;14769;United Kingdom
551997;22362;GLASS JAR PEACOCK BATH SALTS;1;20110505;5.79;;United Kingdom
