id;value;country;frequency;recency
12987;95.4;United Kingdom;2;73
12988;50.9;United Kingdom;1;292
12989;1946.14;United Kingdom;7;3
12990;41.6;United Kingdom;1;185
12991;5.04;United Kingdom;1;112
12993;78.6;United Kingdom;2;120
12994;92.6;United Kingdom;5;4
12997;318.82;United Kingdom;3;22
12999;16.74;United Kingdom;2;205
13000;43.1;United Kingdom;1;259
13001;856.6;United Kingdom;13;4
13002;9.95;United Kingdom;1;318
13004;619.82;United Kingdom;15;11
13005;29.8;United Kingdom;1;246
13008;13.92;United Kingdom;1;323
13012;132.05;United Kingdom;5;78
13013;527.79;United Kingdom;12;1
13014;372.93;United Kingdom;11;10
13015;314.42;United Kingdom;5;53
13016;39.96;United Kingdom;3;73
13018;932.16;United Kingdom;22;16
13021;392.72;United Kingdom;8;4
13023;161.73;United Kingdom;2;64
13026;13.8;United Kingdom;1;1
13027;960;United Kingdom;2;113
13028;36.19;United Kingdom;2;22
13030;96.26;United Kingdom;2;11
13032;81.56;United Kingdom;2;52
13033;37.35;United Kingdom;1;357
13034;69.66;United Kingdom;2;54
13035;50.13;United Kingdom;3;57
13037;143.87;United Kingdom;3;138
13038;39.6;United Kingdom;2;183
13040;111.2;United Kingdom;2;8
13044;22.4;United Kingdom;1;291
13045;115.6;United Kingdom;1;99
13046;17.4;United Kingdom;1;30
13047;217.65;United Kingdom;7;127
13048;133.25;United Kingdom;4;14
13049;76.2;United Kingdom;2;64
13050;548.21;United Kingdom;15;14
13052;49.1;United Kingdom;1;212
13055;118.3;United Kingdom;2;78
13058;9.95;United Kingdom;1;24
13059;25.6;United Kingdom;1;249
13060;150.18;United Kingdom;1;253
13061;16.5;United Kingdom;1;72
13062;19.8;United Kingdom;1;191
13064;108.3;United Kingdom;4;12
13065;17.7;United Kingdom;1;373
13066;29.56;United Kingdom;2;24
13067;17.4;United Kingdom;1;82
13069;405.46;United Kingdom;18;0
13070;41.6;United Kingdom;1;192
13072;35.4;United Kingdom;1;266
13075;116.85;United Kingdom;1;129
13077;51.82;United Kingdom;3;1
13078;1115.4;United Kingdom;24;3
13079;35.4;United Kingdom;2;21
13081;4433.01;United Kingdom;12;11
13082;101.7;United Kingdom;5;126
13083;52.04;United Kingdom;1;75
13085;52.4;United Kingdom;2;157
13089;5944.61;United Kingdom;64;2
13090;959.33;United Kingdom;7;31
13091;35.88;United Kingdom;1;28
13092;27.21;United Kingdom;2;70
13093;522.01;United Kingdom;6;275
13095;23.28;United Kingdom;1;70
13097;674.84;United Kingdom;12;32
13098;3851.96;United Kingdom;24;1
13101;16.8;United Kingdom;1;234
13102;437.82;United Kingdom;18;1
13103;27.04;United Kingdom;1;39
13104;19.8;United Kingdom;1;46
13106;76.5;United Kingdom;1;133
13107;19.8;United Kingdom;1;175
13109;119.48;United Kingdom;2;59
13110;159.04;United Kingdom;6;31
13113;1186.88;United Kingdom;15;40
13115;251.2;United Kingdom;3;11
13116;99.2;United Kingdom;1;138
13117;21.54;United Kingdom;2;238
13118;163.1;United Kingdom;6;19
13121;37.98;United Kingdom;2;269
13122;66.6;United Kingdom;1;240
13124;316.82;United Kingdom;3;89
13126;144.86;United Kingdom;6;44
13127;10.2;United Kingdom;1;77
13130;25;United Kingdom;1;94
13131;118.6;United Kingdom;2;23
13132;17;United Kingdom;1;261
13133;29.75;United Kingdom;2;273
13134;268.78;United Kingdom;4;72
13136;290.02;United Kingdom;5;50
13137;422.3;United Kingdom;8;10
13138;94.5;United Kingdom;4;46
13139;553.43;United Kingdom;4;32
13140;51.15;United Kingdom;3;108
13141;330.46;United Kingdom;5;84
13142;2.95;United Kingdom;1;19
13144;23.6;United Kingdom;1;332
13145;118.8;United Kingdom;1;39
13147;118.8;United Kingdom;1;43
13148;388.25;United Kingdom;11;29
13149;269.66;United Kingdom;4;14
13151;99.35;United Kingdom;2;203
13153;35.4;United Kingdom;1;5
13155;117.14;United Kingdom;3;79
13157;231.36;United Kingdom;4;49
13158;128.6;United Kingdom;4;94
13159;181.5;United Kingdom;3;50
13160;15;United Kingdom;1;22
13161;42.3;United Kingdom;1;313
13162;310.2;United Kingdom;3;122
13165;133.68;United Kingdom;2;46
13166;27.05;United Kingdom;1;283
13167;125.77;United Kingdom;4;18
13168;78.15;United Kingdom;3;36
13170;10.4;United Kingdom;1;26
13171;71.89;United Kingdom;2;49
13173;51.92;United Kingdom;2;4
13174;260.76;United Kingdom;3;16
13176;15.35;United Kingdom;1;46
13177;42.6;United Kingdom;1;64
13178;760.85;United Kingdom;10;35
13183;726.94;United Kingdom;8;7
13184;151.31;United Kingdom;7;14
13186;136.4;United Kingdom;4;39
13187;29.44;United Kingdom;1;337
13189;38.4;United Kingdom;2;18
13192;98.51;United Kingdom;2;95
13193;17.55;United Kingdom;1;61
13196;138.2;United Kingdom;3;11
13198;382.67;United Kingdom;5;10
13199;878.96;United Kingdom;9;7
13200;71.75;United Kingdom;3;21
13203;89.49;United Kingdom;4;9
13208;184.46;United Kingdom;7;58
13209;522.61;United Kingdom;7;30
13210;25.5;United Kingdom;1;93
13211;147.01;United Kingdom;3;10
13212;78.25;United Kingdom;3;9
13213;215.1;United Kingdom;4;56
13216;69.12;United Kingdom;1;267
13221;96.9;United Kingdom;2;240
13224;104.73;United Kingdom;2;60
13225;1404.68;United Kingdom;6;3
13226;13.85;United Kingdom;1;273
13229;33.6;United Kingdom;1;225
13230;263.44;United Kingdom;13;4
13232;168.78;United Kingdom;6;26
13233;54.24;United Kingdom;2;74
13235;63.64;United Kingdom;1;212
13236;57.26;United Kingdom;2;24
13238;187.2;United Kingdom;3;17
13239;24.98;United Kingdom;1;261
13240;147.4;United Kingdom;4;96
13243;83.36;United Kingdom;1;203
13244;21.84;United Kingdom;1;92
13245;75.75;United Kingdom;1;50
13246;67.56;United Kingdom;5;18
13247;10.2;United Kingdom;1;82
13248;30.45;United Kingdom;2;124
13253;110.52;United Kingdom;2;156
13255;17.7;United Kingdom;1;373
13258;73.67;United Kingdom;2;23
13259;34.54;United Kingdom;1;61
13260;219;United Kingdom;1;61
13262;17.7;United Kingdom;1;263
13263;745.07;United Kingdom;32;1
13265;122.58;United Kingdom;4;53
13266;623.27;United Kingdom;13;11
13267;597.99;United Kingdom;15;2
13268;349.96;United Kingdom;9;17
13269;656.78;United Kingdom;13;1
13271;18.05;United Kingdom;1;37
13272;14.85;United Kingdom;1;89
13276;42.75;United Kingdom;2;63
13277;49.5;United Kingdom;1;25
13278;76.41;United Kingdom;1;40
13279;12.5;United Kingdom;1;78
13280;50;United Kingdom;3;122
13282;40.56;United Kingdom;2;18
13284;68.45;United Kingdom;1;330
13285;248.6;United Kingdom;3;23
13291;30.93;United Kingdom;1;155
13292;19.8;United Kingdom;1;284
13294;77.65;United Kingdom;2;189
13297;197.6;United Kingdom;2;23
13299;17.7;United Kingdom;1;268
13300;54.19;United Kingdom;2;164
13301;81.65;United Kingdom;4;103
13304;34.35;United Kingdom;1;351
13305;213;United Kingdom;6;21
13308;155.58;United Kingdom;3;22
13309;42.2;United Kingdom;3;88
13310;129.94;United Kingdom;4;28
13311;194.79;United Kingdom;1;150
13313;201.54;United Kingdom;4;22
13314;68.11;United Kingdom;4;1
13316;770.66;United Kingdom;4;37
13317;228.28;United Kingdom;5;66
13318;56.76;United Kingdom;2;1
13319;983.24;United Kingdom;20;17
13320;145.68;United Kingdom;5;78
13321;17.7;United Kingdom;1;86
13322;2.89;United Kingdom;1;17
13323;17;United Kingdom;1;3
13324;928.32;United Kingdom;6;89
13327;258;United Kingdom;5;38
13328;254.88;United Kingdom;1;316
13330;180.96;United Kingdom;3;92
13334;315.06;United Kingdom;3;82
13336;130.98;United Kingdom;1;77
13338;145.8;United Kingdom;1;157
13339;132.91;United Kingdom;1;200
13340;809;United Kingdom;6;45
13341;192.8;United Kingdom;1;260
13343;40.6;United Kingdom;1;177
13344;240.25;United Kingdom;2;67
13345;-11.9;United Kingdom;1;276
13348;11.4;United Kingdom;1;64
13349;9.96;United Kingdom;1;10
13350;254.75;United Kingdom;3;16
13352;60.3;United Kingdom;1;60
13354;10.2;United Kingdom;1;71
13355;146.2;United Kingdom;1;122
13356;73.89;United Kingdom;1;80
13357;78.86;United Kingdom;1;257
13358;63.9;United Kingdom;1;268
13359;31.5;United Kingdom;1;63
13362;342.75;United Kingdom;4;9
13363;30.93;United Kingdom;2;17
13364;0;United Kingdom;2;66
13365;201.5;United Kingdom;3;8
13368;110.22;United Kingdom;2;256
13369;15.6;United Kingdom;1;365
13370;64.25;United Kingdom;2;366
13372;6.96;United Kingdom;1;89
13373;367.53;United Kingdom;3;60
13375;28.9;United Kingdom;1;88
13376;62.05;United Kingdom;3;99
13379;65.92;United Kingdom;3;26
13381;423.58;United Kingdom;7;21
13382;15.9;United Kingdom;1;280
13384;405.43;United Kingdom;8;30
13385;71.04;United Kingdom;1;329
13388;30.45;United Kingdom;1;131
13389;51.4;United Kingdom;2;74
13390;63;United Kingdom;1;74
13394;260.54;United Kingdom;7;1
13395;11.5;United Kingdom;1;185
13396;235.95;United Kingdom;2;29
13397;256.6;United Kingdom;1;183
13398;31.85;United Kingdom;1;192
13402;59.34;United Kingdom;2;127
13404;15;United Kingdom;1;212
13405;71.1;United Kingdom;2;204
13408;4187.16;United Kingdom;36;1
13410;226.75;United Kingdom;4;24
13411;24.3;United Kingdom;1;107
13414;83.7;United Kingdom;2;133
13416;49.5;United Kingdom;2;43
13417;131.78;United Kingdom;2;4
13418;470.72;United Kingdom;15;11
13421;354.82;United Kingdom;2;40
13422;345.46;United Kingdom;1;64
13425;137.47;United Kingdom;3;108
13426;389.78;United Kingdom;9;0
13427;45;United Kingdom;2;19
13428;15.65;United Kingdom;1;10
13429;153.82;United Kingdom;4;10
13430;81.48;United Kingdom;2;18
13431;146.78;United Kingdom;2;67
13434;177.6;United Kingdom;1;74
13435;202.55;United Kingdom;7;5
13436;17.34;United Kingdom;1;1
13437;286.26;United Kingdom;5;31
13439;23.3;United Kingdom;1;255
13447;139.24;United Kingdom;4;23
13448;374.54;United Kingdom;6;16
13449;24.84;United Kingdom;1;23
13450;506.52;United Kingdom;6;26
13451;200.94;United Kingdom;6;26
13453;15;United Kingdom;1;289
13455;102.3;United Kingdom;2;24
13456;40.64;United Kingdom;2;17
13458;1049.46;United Kingdom;13;7
13461;60.4;United Kingdom;2;38
13462;44.4;United Kingdom;1;252
13464;92.34;United Kingdom;1;58
13466;35.4;United Kingdom;1;184
13467;269.29;United Kingdom;2;10
13468;654.99;United Kingdom;20;7
13471;188.49;United Kingdom;3;5
13473;18.48;United Kingdom;1;332
13474;16;United Kingdom;1;236
13475;173.88;United Kingdom;3;217
13476;262.4;United Kingdom;2;178
13477;190.96;United Kingdom;4;57
13479;39.6;United Kingdom;1;200
13481;202.45;United Kingdom;3;45
13482;20.28;United Kingdom;1;232
13483;20.28;United Kingdom;1;65
13485;31.49;United Kingdom;1;233
13486;121.41;United Kingdom;3;78
13487;37.5;United Kingdom;2;57
13488;1078.04;United Kingdom;14;17
13489;35.16;United Kingdom;2;157
13491;173.09;United Kingdom;8;147
13492;76.54;Other;2;136
13493;196.6;Other;2;275
13495;50.55;United Kingdom;3;35
13496;27.49;United Kingdom;1;359
13497;44.7;United Kingdom;2;282
13499;70.74;United Kingdom;3;17
13500;105.48;United Kingdom;2;23
13501;133.38;Other;1;288
13502;59.4;United Kingdom;1;323
13503;20.7;United Kingdom;1;71
13504;41.57;United Kingdom;1;64
13505;163.17;Other;6;72
13506;30.6;United Kingdom;1;316
13507;243.35;United Kingdom;4;3
13509;67.44;United Kingdom;2;52
13510;166.32;United Kingdom;4;1
13512;20.15;United Kingdom;1;260
13515;127.7;United Kingdom;4;72
13516;79.1;United Kingdom;2;72
13517;171.59;United Kingdom;4;59
13518;53.2;United Kingdom;1;85
13519;27.7;United Kingdom;1;78
13520;436.6;Other;5;58
13521;149.56;United Kingdom;3;1
13523;413.17;United Kingdom;3;33
13524;28.44;United Kingdom;1;40
13527;323.52;United Kingdom;6;33
13531;162.4;United Kingdom;2;205
13532;8.62;United Kingdom;1;33
13533;26.96;United Kingdom;3;182
13534;680;United Kingdom;19;2
13536;386.71;United Kingdom;7;1
13538;295.8;United Kingdom;5;43
13539;87.28;United Kingdom;3;85
13544;22.43;United Kingdom;2;39
13546;42.55;United Kingdom;3;12
13548;121.88;United Kingdom;2;96
13549;121.2;United Kingdom;4;25
13552;526.55;United Kingdom;11;66
13555;360.38;United Kingdom;4;73
13557;36.6;United Kingdom;1;28
13558;110.24;United Kingdom;4;5
13560;13.15;United Kingdom;1;7
13561;9.83;United Kingdom;1;215
13562;197.7;United Kingdom;3;81
13563;32.43;United Kingdom;2;84
13564;-901.58;United Kingdom;4;144
13566;165.08;United Kingdom;2;40
13568;47.25;United Kingdom;1;173
13569;35.58;United Kingdom;2;17
13570;19.83;United Kingdom;1;243
13571;166.62;United Kingdom;11;12
13572;80.4;United Kingdom;1;205
13573;37.5;United Kingdom;2;50
13575;60;United Kingdom;3;23
13576;527.15;United Kingdom;10;10
13577;153.9;United Kingdom;4;25
13583;61.65;United Kingdom;1;155
13584;30.05;United Kingdom;1;306
13587;19.8;United Kingdom;1;63
13588;357.34;United Kingdom;8;15
13589;88.15;United Kingdom;2;14
13590;187.2;United Kingdom;4;51
13591;133.69;United Kingdom;3;64
13592;47.52;United Kingdom;3;35
13593;237.15;United Kingdom;4;108
13594;33;United Kingdom;1;52
13596;75.11;United Kingdom;2;5
13598;10.55;United Kingdom;1;47
13599;586.37;United Kingdom;16;8
13600;44.7;United Kingdom;1;312
13601;105.24;United Kingdom;2;45
13602;52.56;United Kingdom;1;64
13603;22.79;United Kingdom;1;26
13606;11.7;United Kingdom;1;243
13607;79.8;United Kingdom;1;40
13610;117.96;United Kingdom;8;12
13611;104.03;United Kingdom;4;89
13614;188.98;United Kingdom;3;24
13615;22.5;United Kingdom;1;318
13617;78.34;United Kingdom;3;40
13618;43.6;United Kingdom;1;173
13621;4;United Kingdom;1;116
13623;37.08;United Kingdom;4;210
13626;27.6;United Kingdom;1;252
13627;137.54;United Kingdom;4;79
13629;804.53;United Kingdom;5;99
13630;366.15;United Kingdom;6;75
13632;228.65;United Kingdom;5;24
13634;118.58;United Kingdom;5;33
13635;108.35;United Kingdom;1;67
13636;58.48;United Kingdom;3;36
13637;99;United Kingdom;2;187
13639;59.46;United Kingdom;1;74
13642;51.9;United Kingdom;1;215
13643;10.5;United Kingdom;1;31
13644;271.56;United Kingdom;3;16
13645;30.6;United Kingdom;1;120
13647;207.8;United Kingdom;3;9
